9am,10am,11am,12pm,1pm,2pm
337,264,119,0,20,110
416,326,121,15,16,60
359,259,0,0,0,20
364,299,99,0,0,59
351,0,0,0,0,62
362,306,0,0,29,52
347,195,0,0,0,53
357,295,0,0,0,38
355,172,150,82,82,117
343,226,44,0,6,55
328,312,116,14,23,34
256,90,4,7,1,62
67,47,36,28,20,26
326,181,75,0,0,52
343,182,117,64,108,131
310,144,87,49,27,86
335,147,71,11,41,79
306,177,47,0,0,36
341,164,97,63,86,117
327,185,114,37,13,61
339,136,45,41,63,96
318,105,0,2,37,57
346,178,88,106,72,121
344,172,99,72,,
,,,,,
344,186,103,10,13,68
368,241,190,140,125,157
357,232,143,100,,
371,239,165,117,,
361,236,140,107,123,154
375,271,218,154,145,213
377,219,177,151,166,179
349,214,150,143,183,203
363,216,148,126,123,149
371,237,176,149,159,178
361,184,120,109,141,155
360,199,165,146,165,191
358,226,187,113,112,149
,296,202,154,141,175
363,248,,125,147,153
378,267,228,179,170,189
300,190,148,113,123,158
335,231,191,142,153,168
351,212,128,92,112,129
365,263,221,193,211,237
353,250,178,151,163,178
349,272,193,138,134,
361,245,205,158,165,188
400,344,318,280,267,285