Day,9am,10am,11am,12pm,1pm,2pm
M,269,62,10,15,18,87
T,396,98,16,19,16,39
W,315,0,0,0,0,41
R,400,154,0,0,0,37
M,324,0,0,0,0,64
T,384,168,0,0,0,41
W,283,0,0,0,0,50
R,295,128,0,20,0,30
T,455,72,14,8,44,61
W,409,139,0,0,0,54
R,260,161,0,41,10,24
M,122,5,0,29,0,34
T,264,44,6,0,0,35
W,199,30,0,0,0,42
R,255,52,0,6,0,39
M,197,46,0,0,8,48
T,214,8,0,41,37,43
W,220,70,0,0,0,35
R,301,69,0,7,22,67
M,213,76,0,0,0,60
T,289,28,0,8,17,50
W,166,0,0,0,7,35
R,318,146,26,29,5,42
M,278,80,29,30,12,
T,,,,,,
W,281,70,0,0,0,50
R,338,168,88,69,19,76
M,315,151,62,35,,
T,307,89,0,25,,
W,281,90,0,22,0,60
R,359,172,97,68,66,118
W,305,155,102,96,102,119
R,331,134,112,115,121,128
M,247,104,20,0,12,59
T,348,121,50,24,20,54
W,305,45,20,31,35,76
R,364,121,97,74,62,62
M,285,127,27,3,3,33
T,,208,23,1,3,43
W,241,99,0,17,11,75
R,347,179,56,41,6,23
M,488,317,221,155,161,202
T,297,123,36,36,6,70
W,273,85,3,2,38,39
R,354,137,72,44,25,63
M,294,166,55,16,19,56
T,320,167,13,0,0,
W,298,95,0,14,4,80
R,565,417,333,284,251,263